319	197	28	46
318	197	28	42
321	196	27	46
319	197	30	45
319	196	29	47
319	195	29	46
321	196	26	50
320	197	26	45
320	196	28	47
318	196	28	43
319	197	29	40
320	196	28	41
320	197	28	42
317	196	30	43
319	197	30	37
319	196	28	38
319	197	28	42
319	195	29	46
320	196	27	47
318	197	28	40
319	197	28	41
319	196	27	42
318	197	29	40
319	196	28	41
318	196	27	40
319	196	28	39
319	197	28	39
320	197	28	44
319	195	28	46
319	197	28	46
320	197	29	42
320	196	27	43
320	197	27	43
320	198	29	41
319	198	27	41
317	196	30	39
318	196	30	39
318	196	29	40
319	196	28	41
319	197	28	42
318	195	29	44
319	197	28	41
318	196	30	38
320	197	28	42
318	196	27	44
319	197	28	39
317	196	29	40
320	196	29	41
319	197	28	38
319	197	28	41
317	196	29	43
320	198	28	40
317	197	29	38
318	197	30	41
318	197	27	39
319	197	28	41
320	197	27	44
319	198	29	40
319	197	29	42
317	196	29	43
320	197	29	40
319	196	28	41
318	196	29	41
320	197	27	43
318	197	29	42
318	197	29	40
320	197	29	39
318	197	28	40
318	196	29	40
318	196	29	41
318	197	27	42
319	197	29	41
318	197	28	42
319	196	30	41
319	196	27	42
318	197	30	40
318	195	28	42
317	196	30	38
319	196	28	43
319	196	28	40
319	197	27	41
318	197	28	43
318	195	28	50
319	195	27	49
320	196	27	46
319	197	28	43
317	197	30	38
317	196	29	40
319	197	29	41
319	197	29	39
319	195	26	41
319	196	29	44
321	197	27	45
320	195	28	47
319	196	28	43
319	197	30	46
320	197	27	45
319	197	30	47
319	197	28	47
317	196	29	42
318	197	26	44
321	197	27	46
318	197	29	47
319	196	28	45
319	196	28	41
319	196	29	38
319	198	29	38
319	197	29	40
320	197	29	39
317	197	29	38
319	197	28	39
317	197	30	40
318	197	28	39
318	197	30	41
318	197	29	38
318	197	30	41
318	197	29	40
318	197	28	39
318	196	27	43
320	196	28	43
319	195	29	43
320	196	27	44
319	197	28	40
319	196	28	40
318	197	28	41
320	196	29	40
319	196	29	40
318	196	27	40
320	196	29	42
321	196	27	41
319	196	29	44
318	196	28	43
318	197	30	39
319	196	28	39
319	197	29	40
318	197	29	41
319	196	28	38
317	196	29	39
319	196	29	39
318	196	28	40
318	196	28	43
318	197	28	41
318	196	28	41
321	196	27	42
320	196	28	43
319	197	28	42
318	196	29	40
318	196	28	39
318	198	29	38
319	197	27	39
319	196	29	42
320	196	26	42
321	196	27	43
320	197	27	39
320	196	27	41
318	195	28	43
318	196	29	40
319	197	29	43
319	196	30	45
319	195	28	48
320	196	28	43
319	197	30	40
319	197	28	39
318	196	30	39
318	195	29	42
318	196	27	44
319	195	28	47
319	196	27	44
317	196	29	46
318	196	28	39
319	195	29	43
318	195	29	43
319	196	29	39
317	196	30	39
319	197	29	42
319	196	28	44
318	196	30	42
319	196	28	42
317	197	31	42
319	196	29	38
319	197	29	40
319	196	28	40
320	196	28	39
320	197	29	39
319	196	28	42
320	197	28	38
320	196	28	43
318	197	29	39
317	196	29	39
318	197	29	41
319	197	28	45
320	196	28	42
320	197	26	42
318	196	29	41
319	198	28	40
317	197	29	40
319	196	28	40
319	196	26	42
320	196	27	42
320	197	28	40
320	197	29	40
319	197	30	41
317	197	30	43
317	195	30	40
320	197	28	44
317	197	30	40
321	196	28	42
319	196	28	43
318	196	28	42
319	197	29	44
317	197	30	39
320	197	30	40
318	195	30	44
319	196	29	42
319	197	27	41
319	195	27	43
319	196	27	43
319	195	29	45
319	197	27	46
319	196	27	47
318	196	27	48
319	195	25	54
318	195	29	52
320	195	26	57
321	195	25	55
321	193	27	56
319	196	30	49
319	195	26	53
320	195	26	55
320	195	26	53
